"Title","Text","Reviewer","Date","Rating"
"Useless, incompetent delivery drivers!","Had nothing but issues with the incompetent drivers. Food being damaged during delivery due to carelessness, refusal to come to the door of our property, they never follow the basic instructions for delivery, 90% of the time they demand I come outside to collect the food despite me explaining I have 2 children under 2 and can't leave them even for a second alone in the flat to wander round and find a useless delivery person, they are often rude to me when I say I can't come out to them and try and direct them as best I can, and now the final straw was ordering £40+ worth of food for the driver to turn up outside and almost immediately move our order to ""completed"" despite us not receiving it! I've now being trying to find a way to contact Uber about this to get my money back for 2 hours and no one will speak to me to sort this out. I rang the driver immediately and he rejected all my calls. Please don't be conned into using them. They take money for a terrible service. It isn't worth it.","Cari Pinder",2024-11-16,1
"I ordered 5 Pizza's paid €92 and never…","I ordered 5 Pizza's paid €92 and never received the order. When I contacted Uber, I got an answer a day later and they said that I had to check my address and it's not their fault and they will not give my money back. There is nothing wrong with my address but it is not possible to react to their last answer. NEVER again UBER eats for me!!!","Jacqueline",2024-11-13,1
"Regarding our recent order from New Taj Mahal","Hi I ordered 3 Mango Lassi for my wife who is pregnant and had cravings for mango lassi (Supposed to be sweet), from the new Taj Mahal restaurant. The order arrived on time. My wife took a cup of lassi to drink and found that it was tasting salty instead of sweet. She couldn't drink further as it was salty and non-consumable and just within 15 minutes of the order received, she contacted the restaurant and explained them the situation. The staff in the restaurant were very unprofessional and they said that they will make It right the next time. (What is the point of making it correct the next time when we wanted to enjoy a cup of mango lassi during that moment) Further my wife told them that she will raise a complaint for which the response she received was ""Cheap"". We thought that the restaurant will honor our request and will provide a replacement, but they denied. We were ready to return the unopened drinks too. Because of the above conversations we had, we have lost trust in the restaurant and we no longer need any services (replacement) from the restaurant. The scenario is very simple - We received a drink that could not be consumed, and we lost our money. we paid 14.310 Euro for this order and amount of 2.41 euro was only refunded. This refund is not justified, and we are still following up with the customer care for an answer.","Sreejith P",2024-11-17,1
"Poor customer support!","In general I had a good experience in the past, but when the app multifunctioned once, they provided no customer support. This resulted in the restaurant cancelling my order and me getting charged £40 which they REFUSED to refund me. Worst customer service experience!","Tilemachos Makropoulos",2024-10-17,1
"Well over 1hr for delivery by UBEREATS…","The 2nd time in a row that UBEREATS delivery drivers have taken over a hour. Nearly 1hr 30mins to deliver my food and it's obviously NOT HOT by the time it arrived. Useless. DO NOT GET MCDONALD'S DELIVERED FROM UBEREATS.","Gamer Beans",2024-11-15,1
"Uber Eats eGift Cards..","Uber Eats eGift Cards..I purchased an online Uber Eats Gift Card. What a nightmare. I purchased one for £30. These online gift cards do not work on the uber eats website or app. I have tried to get help from Uber Eats and have not got any response back for 2 days straight. Many negative reviews regarding these Uber Eats gift cards. I'd just like assistance or a refund. Both seeming impossible from Uber Eats Support.","Vikkie Nyere",2024-11-13,1
"If I was able to give a zero to this…","If I was able to give a zero to this review I would have. I ordered take away from KFC that was to be delivered via Uber eat to my work place. The courier was to be delivered by Silvia and when they arrived my work place I was busy so I asked my colleague with whom we ordered together to take my phone to collect as I had left a message that they can text or call when they arrived. When my colleague met Silvia , to collect the food, she showed Silvia the pin from my phone and he said it was not the right pin. Silvia then agreed to wait for my colleague to com get me and when we arrived Silvia had left and a message left on my phone that my Uber eat has been delivered. The courier was never delivered. If this driver can be so dishonest to lie of haven delivered food which he never delivered then what else can they do we your food. Does Uber eat not do a check on their courier deliverer?I have requested for a refund of my money.Please avoid this Uber eat couriers for you never even know what they can do with your couriers on the wayVery disappointing and disgusting","Ani Feh",2024-11-17,1
"Zero customer service","Impossible to speak to anyone if you have any issues with your order. Uber eats drivers don't respond, shops don't pick up and Uber eats don't have a number to contact. No way to cancel order once placed. Will never use again.","Jonathan Woolley",2024-11-15,1
"Convienient","Delivery is not slow. Food is good! Very convenient!","Rita",2024-11-16,5
"Awesome","On time delivery great food and delivery person was friendly","Juan M Martinez",2024-11-15,5
